,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ
939,5.9,3.5,41585,7.2,11.4,28.3,7.2,5.7,26.7,2.4,3.4,4.2,1.0,1.8,0.3
940,23.5,6.6,22442,19.7,17.2,24.9,20.8,11.0,41.8,3.7,1.8,28.6,2.8,5.7,0.7
941,22.3,4.9,35844,16.8,27.8,19.2,15.0,8.0,43.0,1.0,2.0,17.8,0.6,7.8,1.2
942,15.6,7.7,21796,20.7,16.2,23.3,19.4,7.0,15.1,0.8,1.2,31.4,2.9,5.5,1.3
943,20.2,11.1,20874,13.3,16.4,20.9,14.3,4.9,35.0,0.1,0.9,13.8,0.6,6.2,6.7
944,17.4,8.5,24292,16.7,15.8,23.1,18.1,9.1,17.6,1.4,0.1,28.7,2.8,3.1,0.9
945,23.0,5.0,21746,17.7,21.3,22.9,13.0,8.6,31.8,0.0,0.3,22.2,6.3,7.7,3.1
946,5.9,3.5,41671,5.5,14.5,26.8,9.9,8.0,15.4,1.2,0.7,5.2,1.7,2.3,0.6
947,15.1,4.7,23027,20.6,18.1,21.5,15.8,7.9,24.3,1.9,1.0,31.7,1.8,3.6,0.9
948,9.4,4.3,27855,9.9,10.1,27.0,9.8,10.1,27.9,0.7,1.9,3.1,1.7,2.4,0.4
949,16.0,4.6,28819,14.6,23.0,20.5,14.3,6.0,34.5,1.4,3.8,28.3,0.9,4.5,0.9
950,19.4,4.2,28312,15.8,26.9,17.0,20.0,6.0,13.0,1.4,1.6,10.8,2.4,5.3,2.6
951,16.2,9.1,21839,16.5,19.1,22.4,19.5,6.1,17.4,0.8,1.5,23.0,2.0,7.4,2.9
952,15.8,5.5,23940,10.8,34.0,12.9,18.6,5.6,5.4,0.0,3.3,12.7,0.9,3.4,7.3
953,14.4,3.7,27282,11.1,32.1,16.5,18.1,6.3,6.1,0.9,2.5,11.8,1.2,4.8,2.4
954,22.3,8.2,21015,20.1,18.0,23.2,15.7,8.0,32.6,0.6,2.2,18.7,1.7,10.4,2.1
955,19.6,7.6,21067,18.1,15.0,24.8,16.3,7.6,28.8,1.6,1.5,30.9,2.9,8.8,7.1
956,14.5,3.9,26356,10.3,17.5,19.2,15.6,5.0,12.0,0.2,3.5,11.7,3.3,6.2,10.5
957,10.0,4.3,22279,15.7,14.2,15.7,14.2,6.8,26.1,0.7,3.1,12.6,2.4,7.0,28.0
958,11.6,5.4,26713,13.1,18.4,19.9,15.9,8.0,11.9,0.9,1.2,9.1,1.3,5.4,11.3
959,11.2,4.3,27871,17.7,17.3,25.2,11.5,7.9,9.6,1.2,3.3,5.3,2.8,10.6,1.0
960,17.9,7.0,22260,17.0,18.3,20.8,17.9,8.2,7.9,0.4,1.7,15.0,1.7,3.7,8.1
961,19.6,4.5,25572,12.0,23.5,20.7,23.5,11.6,4.3,0.3,0.6,17.2,1.3,6.5,0.2
962,8.2,5.6,28401,9.9,24.7,18.4,17.2,6.8,3.8,0.1,0.4,10.8,1.2,3.0,0.8
963,8.3,4.5,32710,8.2,26.4,19.2,14.5,5.2,5.2,0.6,2.4,3.5,1.3,4.2,0.9
964,11.8,5.7,22469,17.8,20.4,18.5,16.0,7.2,15.5,0.0,1.2,21.0,1.2,5.3,17.9
965,5.3,4.9,34423,7.9,9.6,29.2,7.7,8.7,29.7,3.0,4.9,0.1,1.9,2.0,0.3
966,8.5,5.6,27187,11.1,17.7,19.3,15.5,6.4,13.5,0.2,3.8,3.6,0.6,6.3,14.2
967,14.6,3.5,33665,4.1,12.3,21.8,9.4,7.0,20.5,0.9,15.6,3.8,1.3,6.4,4.3
