STATE,EP_AGE17,EP_AGE65,EP_CROWD,EP_DISABL,EP_GROUPQ,EP_LIMENG,EP_MINRTY,EP_MOBILE,EP_MUNIT,EP_NOHSDP,EP_NOVEH,EP_PCI,EP_POV,EP_SNGPNT,EP_UNEMP,E_TOTPOP,FIPS,V_PCT_12YRS,V_PCT_18YRS,V_PCT_65YRS,V_PCT_ALL,V_REPORT_COMPLETENESS
KY,0.00027636338137878425,0.00020794559814371917,2.4872704324090585e-05,0.00025196997886003697,3.678386408240866e-05,6.0677568974308725e-06,0.00010141822242848744,0.00023801923695132194,3.1246398544080996e-05,0.00022698509751767457,9.016992686904836e-05,0.28290585102172,0.00025680378855647766,0.000103039690238053,8.643749153382197e-05,0.45280804112605294,0.2584558500982992,0.0006301798949188921,0.0006587238471136971,0.0009098677952028233,0.0005381437503822305,0.001155219329984822
MA,3.509784207369819e-05,3.185903385292678e-05,2.8387960500785302e-06,2.1820018730376338e-05,6.9421467042829505e-06,5.909857231527122e-06,3.974314470109942e-05,1.9355427614171798e-06,1.96264036007702e-05,1.545853485451854e-05,1.8271523667778176e-05,0.07266208177017824,1.931671675894345e-05,1.4400438144943815e-05,9.406737820487494e-06,0.8813420413488193,0.04518795552515004,9.953851241048082e-05,0.00010040305484391383,0.0001159777222641174,8.751234005287542e-05,0.00016186298932811398
MD,6.899368599343036e-05,5.4188288882694245e-05,5.301028260263567e-06,4.0748308142026005e-05,1.155249340557439e-05,5.59552983027821e-06,0.00010369132551515554,1.0213849905507832e-05,3.4697639521725165e-05,3.303772158164264e-05,2.3988491521192706e-05,0.11739903495583709,3.327867741165462e-05,2.843278794141368e-05,1.75763891558739e-05,0.8036459240822073,0.0772503052374909,0.00021908239522089277,0.00022461099287616768,0.0002838191948841115,0.00018882905211938856,0.0003170978722957661
ME,0.00013814285204155068,0.00015553725513006041,1.0767963816696489e-05,0.00012889344722464476,1.895897902768784e-05,2.9450841208058777e-06,4.2933804448623184e-05,6.847320580873666e-05,2.733406199622955e-05,6.157066490059789e-05,5.2643378659405064e-05,0.2133952733608674,0.00010142133441025242,5.765922505265257e-05,3.8424144388639185e-05,0.6133197503599445,0.1694601403111702,0.0005331062428052515,0.0005453927656217385,0.0006589625720303152,0.0004711674423895528,0.000710501544144418
MI,0.00011574816802871365,0.00011933989738894683,9.371843146914034e-06,9.617081147719122e-05,1.8354640173570703e-05,3.536151343053553e-06,6.984767309049199e-05,5.031200005185429e-05,2.6739973515546415e-05,5.51681293029239e-05,3.745263632691887e-05,0.1550512744376281,8.64168694621673e-05,4.4920932385430796e-05,3.839051536682502e-05,0.6917717989123702,0.15040029754247278,0.0003322801229605273,0.00034571610861370135,0.0004707805417721494,0.0002909926034482144,0.0005650894896738233
MN,0.000188585876145448,0.00015542636577630788,1.4623372357843708e-05,0.00010285388075545908,2.1270359793227212e-05,9.55091953481346e-06,9.40666576493918e-05,4.647234194185147e-05,6.788412699966132e-05,6.646987435383504e-05,4.557664859949483e-05,0.25286743023864117,8.820222334469883e-05,6.446163559676172e-05,2.9699305562351827e-05,0.5211387117286027,0.222185596221479,0.0004708047057955678,0.000489227703595198,0.0006812643561964622,0.0004007709147742505,0.0007710505425044864
MO,0.000213037290958128,0.00017744805057036698,1.9615730934236346e-05,0.00016670104727750478,3.252683443424786e-05,5.357168814679034e-06,9.043488941121286e-05,0.00011214938922559021,2.8770283131271707e-05,0.00012999300791472694,5.8071383294485696e-05,0.2252728685368739,0.0001562153692926757,7.698480246338302e-05,4.9504813040524865e-05,0.4973397900283816,0.2734554571829099,0.0003945440502188845,0.0004157603986648237,0.0006119830393341954,0.00033723214360087,0.0008555545592528187
MS,0.00027548873750572256,0.00018862445305505363,3.350864606769229e-05,0.00021115270451800683,4.46592793484739e-05,7.32026306982609e-06,0.0005337549956184822,0.0002404053836846374,3.0203178441201057e-05,0.00022789284099551609,8.76729181618706e-05,0.24321020773800045,0.0002809221885827446,0.00013020421405981366,0.00010689570199833252,0.4240024049050303,0.3266772375426785,0.0005816488098117629,0.000608064177711019,0.000884290616146259,0.0004939191454245448,0.0011435215600899258
MT,0.0002814569249060567,0.00026986262138871294,2.742365203204055e-05,0.0001951129200693113,3.679629259995314e-05,4.790460734710881e-06,0.0001769461969932338,0.00017433111456317422,3.8531966779196216e-05,0.0001051587129397403,5.841122171212688e-05,0.3637667601037934,0.0001835417588743575,7.743421071663096e-05,5.466216548496184e-05,0.24108097787883265,0.3895167593805958,0.0006191959778643687,0.0006451616635858451,0.0009191667606823517,0.0005285706433854904,0.001238947371466095
NC,0.000127814607979794,0.0001152786406762704,1.3496065623425047e-05,0.00010252999336517371,1.942072297724739e-05,1.047600951588689e-05,0.00019512479209086073,0.00012106961345390394,2.224025222050233e-05,9.410178849363363e-05,3.885359909778467e-05,0.1544434817737092,0.00010644938207616388,5.31396190350527e-05,4.257246094449162e-05,0.6171137683513299,0.22544080802749628,0.0003126335345608263,0.0003250175875732262,0.0004444647563979296,0.0002714769148096071,0.0005857815065727935
